Date	CodeOffice	OfficeName	MopCod	MopDsc	TotalAmountIn	TotalAmountOut
01/01/2024	DJBAP	Brigade Aéroport Passager	ES	paiement en espèce	138740.0	0.0
01/01/2024	DJTRS	Bureau Transit	CH	paiement chèque	1000.0	0.0
01/01/2024	DJTRS	Bureau Transit	ES	paiement en espèce	32000.0	0.0
02/01/2024	DIFTZ	Djibouti International Free Trade 	CH	paiement chèque	1731334.0	0.0
02/01/2024	DIFTZ	Djibouti International Free Trade 	ES	paiement en espèce	39000.0	0.0
02/01/2024	DJAFR	Bureau Aéroport Fret	CH	paiement chèque	419749.0	0.0
02/01/2024	DJAFR	Bureau Aéroport Fret	ES	paiement en espèce	1259608.0	0.0
02/01/2024	DJAKH	Bureau Khat	CH	paiement chèque	24022339	0.0
02/01/2024	DJAKH	Bureau Khat	ES	paiement en espèce	12857494	0.0
02/01/2024	DJBAP	Brigade Aéroport Passager	ES	paiement en espèce	24824.0	0.0
02/01/2024	DJEXO	Bureau Exonérations	CH	paiement chèque	254000.0	0.0
02/01/2024	DJEXO	Bureau Exonérations	ES	paiement en espèce	89176.0	0.0
02/01/2024	DJFRZ	Bureau Free Zone	CH	paiement chèque	10258414	0.0
02/01/2024	DJFRZ	Bureau Free Zone	ES	paiement en espèce	2592456.0	0.0
02/01/2024	DJGAR	Bureau de la Gare	ES	paiement en espèce	339934.0	0.0
02/01/2024	DJPRT	Bureau du Port	CH	paiement chèque	25745114	0.0
02/01/2024	DJPRT	Bureau du Port	ES	paiement en espèce	7256705.0	0.0
02/01/2024	DJTRS	Bureau Transit	CH	paiement chèque	54000.0	0.0
02/01/2024	DJTRS	Bureau Transit	ES	paiement en espèce	30000.0	0.0
02/01/2024	DJUKB	Bureau UKAB HOLDING 	CH	paiement chèque	4000.0	0.0
02/01/2024	DJUKB	Bureau UKAB HOLDING 	ES	paiement en espèce	25000.0	0.0
02/01/2024	DJZEA	Bureau FZ East Africa Holding	CH	paiement chèque	3000.0	0.0
02/01/2024	DJZEA	Bureau FZ East Africa Holding	ES	paiement en espèce	7000.0	0.0
02/01/2024	DJZFR	Bureau Zone Franche	ES	paiement en espèce	2000.0	0.0
03/01/2024	DIFTZ	Djibouti International Free Trade 	CH	paiement chèque	4166878.0	0.0
03/01/2024	DIFTZ	Djibouti International Free Trade 	ES	paiement en espèce	969715.0	0.0
03/01/2024	DJAFR	Bureau Aéroport Fret	CH	paiement chèque	2789647.0	0.0
03/01/2024	DJAFR	Bureau Aéroport Fret	ES	paiement en espèce	723380.0	0.0
03/01/2024	DJAKH	Bureau Khat	CH	paiement chèque	16373913	0.0
03/01/2024	DJAKH	Bureau Khat	ES	paiement en espèce	10022783	0.0
03/01/2024	DJBAP	Brigade Aéroport Passager	ES	paiement en espèce	13425.0	0.0
03/01/2024	DJEXO	Bureau Exonérations	CH	paiement chèque	6761963.0	0.0
03/01/2024	DJEXO	Bureau Exonérations	ES	paiement en espèce	857298.0	0.0
03/01/2024	DJFRZ	Bureau Free Zone	CH	paiement chèque	9122314.0	0.0
03/01/2024	DJFRZ	Bureau Free Zone	ES	paiement en espèce	2715669.0	0.0
03/01/2024	DJPRT	Bureau du Port	CH	paiement chèque	15052367	0.0
03/01/2024	DJPRT	Bureau du Port	ES	paiement en espèce	5100561.0	0.0
03/01/2024	DJPTR	Bureau  Hydrocarbures	CH	paiement chèque	2000.0	0.0
03/01/2024	DJREV	Bureau Révision	ES	paiement en espèce	1000.0	0.0
03/01/2024	DJTRS	Bureau Transit	CH	paiement chèque	128000.0	0.0
03/01/2024	DJTRS	Bureau Transit	ES	paiement en espèce	35000.0	0.0
03/01/2024	DJUKB	Bureau UKAB HOLDING 	CH	paiement chèque	18000.0	0.0
03/01/2024	DJUKB	Bureau UKAB HOLDING 	ES	paiement en espèce	20000.0	0.0
03/01/2024	DJZEA	Bureau FZ East Africa Holding	CH	paiement chèque	8000.0	0.0
03/01/2024	DJZEA	Bureau FZ East Africa Holding	ES	paiement en espèce	2583662.0	0.0
03/01/2024	DJZFR	Bureau Zone Franche	CH	paiement chèque	1201998.0	0.0
03/01/2024	DJZFR	Bureau Zone Franche	ES	paiement en espèce	2347801.0	0.0
04/01/2024	DIFTZ	Djibouti International Free Trade 	CH	paiement chèque	3161663.0	0.0
04/01/2024	DIFTZ	Djibouti International Free Trade 	ES	paiement en espèce	766117.0	0.0
04/01/2024	DJAFR	Bureau Aéroport Fret	CH	paiement chèque	952055.0	0.0
04/01/2024	DJAFR	Bureau Aéroport Fret	ES	paiement en espèce	408752.0	0.0
04/01/2024	DJAKH	Bureau Khat	CH	paiement chèque	5912740.0	0.0
04/01/2024	DJAKH	Bureau Khat	ES	paiement en espèce	7077476.0	0.0
04/01/2024	DJBAP	Brigade Aéroport Passager	ES	paiement en espèce	82559.0	0.0
04/01/2024	DJEXO	Bureau Exonérations	CH	paiement chèque	1603844.0	0.0
04/01/2024	DJEXO	Bureau Exonérations	ES	paiement en espèce	48238.0	0.0
04/01/2024	DJFRZ	Bureau Free Zone	CH	paiement chèque	12493790	0.0
04/01/2024	DJFRZ	Bureau Free Zone	ES	paiement en espèce	1194518.0	0.0
04/01/2024	DJGAR	Bureau de la Gare	ES	paiement en espèce	4146130.0	0.0
04/01/2024	DJPRT	Bureau du Port	CH	paiement chèque	14611435	0.0
04/01/2024	DJPRT	Bureau du Port	ES	paiement en espèce	9747136.0	0.0
04/01/2024	DJREV	Bureau Révision	CH	paiement chèque	1000.0	0.0
04/01/2024	DJREV	Bureau Révision	ES	paiement en espèce	1000.0	0.0
04/01/2024	DJTRS	Bureau Transit	CH	paiement chèque	128000.0	0.0
04/01/2024	DJTRS	Bureau Transit	ES	paiement en espèce	13000.0	0.0
04/01/2024	DJUKB	Bureau UKAB HOLDING 	CH	paiement chèque	11000.0	0.0
04/01/2024	DJUKB	Bureau UKAB HOLDING 	ES	paiement en espèce	26000.0	0.0
04/01/2024	DJZEA	Bureau FZ East Africa Holding	CH	paiement chèque	12000.0	0.0
04/01/2024	DJZEA	Bureau FZ East Africa Holding	ES	paiement en espèce	23000.0	0.0
04/01/2024	DJZFR	Bureau Zone Franche	CH	paiement chèque	1898951.0	0.0
05/01/2024	DJBAP	Brigade Aéroport Passager	ES	paiement en espèce	32878.0	0.0
05/01/2024	DJTRS	Bureau Transit	CH	paiement chèque	50000.0	0.0
05/01/2024	DJTRS	Bureau Transit	ES	paiement en espèce	8000.0	0.0
06/01/2024	DIFTZ	Djibouti International Free Trade 	CH	paiement chèque	3000.0	0.0
06/01/2024	DIFTZ	Djibouti International Free Trade 	ES	paiement en espèce	30000.0	0.0
06/01/2024	DJAFR	Bureau Aéroport Fret	ES	paiement en espèce	96796.0	0.0
06/01/2024	DJAKH	Bureau Khat	ES	paiement en espèce	3845762.0	0.0
06/01/2024	DJBAP	Brigade Aéroport Passager	ES	paiement en espèce	54000.0	0.0
06/01/2024	DJFRZ	Bureau Free Zone	CH	paiement chèque	635958.0	0.0
06/01/2024	DJFRZ	Bureau Free Zone	ES	paiement en espèce	1515089.0	0.0
06/01/2024	DJPRT	Bureau du Port	CH	paiement chèque	3377576.0	0.0
06/01/2024	DJPRT	Bureau du Port	ES	paiement en espèce	2015702.0	0.0
06/01/2024	DJTRS	Bureau Transit	CH	paiement chèque	191000.0	0.0
06/01/2024	DJTRS	Bureau Transit	ES	paiement en espèce	28000.0	0.0
06/01/2024	DJUKB	Bureau UKAB HOLDING 	CH	paiement chèque	5000.0	0.0
06/01/2024	DJUKB	Bureau UKAB HOLDING 	ES	paiement en espèce	6000.0	0.0
06/01/2024	DJZEA	Bureau FZ East Africa Holding	CH	paiement chèque	6000.0	0.0
06/01/2024	DJZEA	Bureau FZ East Africa Holding	ES	paiement en espèce	12000.0	0.0
06/01/2024	DJZFR	Bureau Zone Franche	CH	paiement chèque	2000.0	0.0
06/01/2024	DJZFR	Bureau Zone Franche	ES	paiement en espèce	1000.0	0.0
07/01/2024	DIFTZ	Djibouti International Free Trade 	CH	paiement chèque	2000167.0	0.0
07/01/2024	DIFTZ	Djibouti International Free Trade 	ES	paiement en espèce	99180.0	0.0
07/01/2024	DJAFR	Bureau Aéroport Fret	CH	paiement chèque	156772.0	0.0
07/01/2024	DJAFR	Bureau Aéroport Fret	ES	paiement en espèce	745780.0	0.0
07/01/2024	DJAKH	Bureau Khat	CH	paiement chèque	6676797.0	0.0
07/01/2024	DJAKH	Bureau Khat	ES	paiement en espèce	26838819	0.0
07/01/2024	DJBAP	Brigade Aéroport Passager	ES	paiement en espèce	40050.0	0.0
07/01/2024	DJEXO	Bureau Exonérations	CH	paiement chèque	1319484.0	0.0
07/01/2024	DJEXO	Bureau Exonérations	ES	paiement en espèce	193567.0	0.0
07/01/2024	DJFRZ	Bureau Free Zone	CH	paiement chèque	1109164.0	0.0
07/01/2024	DJFRZ	Bureau Free Zone	ES	paiement en espèce	2115378.0	0.0
07/01/2024	DJGAR	Bureau de la Gare	ES	paiement en espèce	5347400.0	0.0
07/01/2024	DJPRT	Bureau du Port	CH	paiement chèque	21934542	0.0
07/01/2024	DJPRT	Bureau du Port	ES	paiement en espèce	13453296	0.0
07/01/2024	DJPTR	Bureau  Hydrocarbures	CH	paiement chèque	54891840	0.0
07/01/2024	DJTRS	Bureau Transit	CC	Chèque Certifiée	1000.0	0.0
07/01/2024	DJTRS	Bureau Transit	CH	paiement chèque	257000.0	0.0
07/01/2024	DJTRS	Bureau Transit	ES	paiement en espèce	22000.0	0.0
07/01/2024	DJUKB	Bureau UKAB HOLDING 	CH	paiement chèque	8000.0	0.0
07/01/2024	DJUKB	Bureau UKAB HOLDING 	ES	paiement en espèce	12000.0	0.0
07/01/2024	DJZEA	Bureau FZ East Africa Holding	CH	paiement chèque	9000.0	0.0
