"Date","CodeOffice","CodeTaxe","TaxeDescription","AmountPaid","AmountAssessed"
"2024-01-01",DJAKH,CCD,Frais Chambre de Commerce,0.0,32888.0
"2024-01-01",DJAKH,CUA,Taxe de Contribution de l'UA,0.0,50246.0
"2024-01-01",DJAKH,DAK,Droit d'Accisse Khat,0.0,11721520
"2024-01-01",DJAKH,FDT,Frais de Timbre,0.0,134000.0
"2024-01-01",DJAKH,FJS,FJSL,0.0,1256150.0
"2024-01-01",DJAKH,IGS,IGS / KHAT,0.0,3077005.0
"2024-01-01",DJAKH,ISS,Impôt Spécial de Solidarité,0.0,357430.0
"2024-01-01",DJAKH,PAT,Patente Khat,0.0,1222175.0
"2024-01-01",DJAKH,TIC23,Taxe Intérieur Consommation à 23%,0.0,5622005.0
"2024-01-01",DJAKH,TVA,Taxe sur la Valeur Ajoutée,0.0,2998735.0
"2024-01-01",DJBAP,CUA,Taxe de Contribution de l'UA,776.0,776.0
"2024-01-01",DJBAP,FDT,Frais de Timbre,1000.0,1000.0
"2024-01-01",DJBAP,TIC23,Taxe Intérieur Consommation à 23%,89240.0,89240.0
"2024-01-01",DJBAP,TVA,Taxe sur la Valeur Ajoutée,47724.0,47724.0
"2024-01-01",DJTRS,FDT,Frais de Timbre,33000.0,10000.0
"2024-01-02",DIFTZ,CUA,Taxe de Contribution de l'UA,10689.0,43547.0
"2024-01-02",DIFTZ,FDT,Frais de Timbre,56000.0,58000.0
"2024-01-02",DIFTZ,TIC10,Taxe Intérieur Consommation à 10%,0.0,102944.0
"2024-01-02",DIFTZ,TIC23,Taxe Intérieur Consommation à 23%,1075073.0,2003490.0
"2024-01-02",DIFTZ,TIC8,Taxe Intérieur de Consommation à 8%,53642.0,963384.0
"2024-01-02",DIFTZ,TVA,Taxe sur la Valeur Ajoutée,574930.0,1184675.0
"2024-01-02",DJAFR,AIB,Accompte impôt Bénéfice,46140.0,46140.0
"2024-01-02",DJAFR,CUA,Taxe de Contribution de l'UA,20837.0,180726.0
"2024-01-02",DJAFR,FDT,Frais de Timbre,27000.0,32000.0
"2024-01-02",DJAFR,TIC10,Taxe Intérieur Consommation à 10%,238436.0,238436.0
"2024-01-02",DJAFR,TIC23,Taxe Intérieur Consommation à 23%,353813.0,15490263
"2024-01-02",DJAFR,TIC8,Taxe Intérieur de Consommation à 8%,451767.0,1603191.0
"2024-01-02",DJAFR,TVA,Taxe sur la Valeur Ajoutée,541364.0,8604340.0
"2024-01-02",DJAKH,CCD,Frais Chambre de Commerce,42944.0,27150.0
"2024-01-02",DJAKH,CUA,Taxe de Contribution de l'UA,62932.0,41462.0
"2024-01-02",DJAKH,DAK,Droit d'Accisse Khat,17210962,10087922
"2024-01-02",DJAKH,FDT,Frais de Timbre,247000.0,134000.0
"2024-01-02",DJAKH,FJS,FJSL,1573300.0,1036550.0
"2024-01-02",DJAKH,IGS,IGS / KHAT,4601810.0,2656056.0
"2024-01-02",DJAKH,ISS,Impôt Spécial de Solidarité,460087.0,295017.0
"2024-01-02",DJAKH,PAT,Patente Khat,1573300.0,1008800.0
"2024-01-02",DJAKH,TIC23,Taxe Intérieur Consommation à 23%,7237180.0,4640480.0
"2024-01-02",DJAKH,TVA,Taxe sur la Valeur Ajoutée,3870318.0,2475265.0
"2024-01-02",DJBAP,AIB,Accompte impôt Bénéfice,9720.0,9720.0
"2024-01-02",DJBAP,CUA,Taxe de Contribution de l'UA,234.0,234.0
"2024-01-02",DJBAP,FDT,Frais de Timbre,2000.0,2000.0
"2024-01-02",DJBAP,TIC10,Taxe Intérieur Consommation à 10%,2700.0,2700.0
"2024-01-02",DJBAP,TIC8,Taxe Intérieur de Consommation à 8%,7200.0,7200.0
"2024-01-02",DJBAP,TVA,Taxe sur la Valeur Ajoutée,2970.0,2970.0
"2024-01-02",DJCPT,FDT,Recette FDT,1000.0,0.0
"2024-01-02",DJCPT,PAT,Recette PAT,5000.0,0.0
"2024-01-02",DJEXO,AMT,Amendes Trésor,250000.0,0.0
"2024-01-02",DJEXO,CBU,Taxe de Contribution Budgétaire,0.0,315641.0
"2024-01-02",DJEXO,CUA,Taxe de Contribution de l'UA,23176.0,129174.0
"2024-01-02",DJEXO,FDT,Frais de Timbre,24000.0,27000.0
"2024-01-02",DJEXO,TIC10,Taxe Intérieur Consommation à 10%,0.0,0.0
"2024-01-02",DJEXO,TIC23,Taxe Intérieur Consommation à 23%,0.0,0.0
"2024-01-02",DJEXO,TVA,Taxe sur la Valeur Ajoutée,46000.0,735298.0
"2024-01-02",DJFRZ,ATB,Alcool Transit Boutre,0.0,136568.0
"2024-01-02",DJFRZ,CUA,Taxe de Contribution de l'UA,92340.0,91246.0
"2024-01-02",DJFRZ,DAA,Droit d'Accisse Alcool,2913480.0,0.0
"2024-01-02",DJFRZ,DEM,Droit d'accises Eau Minéral,0.0,70560.0
"2024-01-02",DJFRZ,FDT,Frais de Timbre,80000.0,82000.0
"2024-01-02",DJFRZ,FJT,FJSL TRANSIT ALCOOL ET TABAC,974714.0,1111282.0
"2024-01-02",DJFRZ,RFSH,Redevance Fonds Soutien Handicaps,38904.0,0.0
"2024-01-02",DJFRZ,TIC10,Taxe Intérieur Consommation à 10%,1128196.0,1128196.0
"2024-01-02",DJFRZ,TIC23,Taxe Intérieur Consommation à 23%,1548103.0,1422997.0
"2024-01-02",DJFRZ,TIC8,Taxe Intérieur de Consommation à 8%,2252800.0,2252800.0
"2024-01-02",DJFRZ,TTT,Transit Tabacs Terrestre,1462071.0,1462071.0
"2024-01-02",DJFRZ,TVA,Taxe sur la Valeur Ajoutée,2360262.0,2009064.0
"2024-01-02",DJGAR,CUA,Taxe de Contribution de l'UA,8094.0,8094.0
"2024-01-02",DJGAR,FDT,Frais de Timbre,3000.0,3000.0
"2024-01-02",DJGAR,TIC8,Taxe Intérieur de Consommation à 8%,303840.0,303840.0
"2024-01-02",DJGAR,TVA,Taxe sur la Valeur Ajoutée,25000.0,25000.0
"2024-01-02",DJPRT,AIB,Accompte impôt Bénéfice,67650.0,67650.0
"2024-01-02",DJPRT,CUA,Taxe de Contribution de l'UA,283549.0,269817.0
"2024-01-02",DJPRT,DYA,Droit d'assises sur les yaourts,0.0,12000.0
"2024-01-02",DJPRT,FDT,Frais de Timbre,28000.0,30000.0
"2024-01-02",DJPRT,FDT,Recette FDT,5000.0,0.0
"2024-01-02",DJPRT,TIC10,Taxe Intérieur Consommation à 10%,6506122.0,6843925.0
"2024-01-02",DJPRT,TIC20,Taxe Intérieur Consommation à 20%,3009102.0,3009102.0
"2024-01-02",DJPRT,TIC23,Taxe Intérieur Consommation à 23%,7217225.0,7363608.0
"2024-01-02",DJPRT,TIC8,Taxe Intérieur de Consommation à 8%,252652.0,252652.0
"2024-01-02",DJPRT,TVA,Taxe sur la Valeur Ajoutée,15632519,14898345
"2024-01-02",DJTRS,FDT,Frais de Timbre,84000.0,158000.0
"2024-01-02",DJUKB,FDT,Frais de Timbre,29000.0,32000.0
"2024-01-02",DJZEA,CUA,Taxe de Contribution de l'UA,0.0,14415.0
"2024-01-02",DJZEA,FDT,Frais de Timbre,10000.0,15000.0
"2024-01-02",DJZEA,TIC23,Taxe Intérieur Consommation à 23%,0.0,1657725.0
"2024-01-02",DJZEA,TVA,Taxe sur la Valeur Ajoutée,0.0,886522.0
"2024-01-02",DJZFR,FDT,Frais de Timbre,2000.0,2000.0
"2024-01-03",DIFTZ,AMT,Amendes Trésor,60183.0,0.0
"2024-01-03",DIFTZ,CUA,Taxe de Contribution de l'UA,81647.0,53907.0
"2024-01-03",DIFTZ,FDT,Frais de Timbre,78000.0,75000.0
"2024-01-03",DIFTZ,TIC10,Taxe Intérieur Consommation à 10%,228268.0,250648.0
"2024-01-03",DIFTZ,TIC23,Taxe Intérieur Consommation à 23%,1129859.0,2060055.0
"2024-01-03",DIFTZ,TIC8,Taxe Intérieur de Consommation à 8%,2642409.0,1239328.0
"2024-01-03",DIFTZ,TVA,Taxe sur la Valeur Ajoutée,916227.0,1377393.0
"2024-01-03",DJAFR,CUA,Taxe de Contribution de l'UA,25916.0,15187.0
"2024-01-03",DJAFR,FDT,Frais de Timbre,33000.0,30000.0
"2024-01-03",DJAFR,TIC10,Taxe Intérieur Consommation à 10%,777380.0,267513.0
"2024-01-03",DJAFR,TIC23,Taxe Intérieur Consommation à 23%,1184958.0,1123617.0
"2024-01-03",DJAFR,TIC8,Taxe Intérieur de Consommation à 8%,2960.0,2960.0
"2024-01-03",DJAFR,TVA,Taxe sur la Valeur Ajoutée,1488813.0,895154.0
"2024-01-03",DJAKH,CCD,Frais Chambre de Commerce,30707.0,28325.0
"2024-01-03",DJAKH,CUA,Taxe de Contribution de l'UA,45002.0,43396.0
"2024-01-03",DJAKH,DAK,Droit d'Accisse Khat,12307353,10432754
"2024-01-03",DJAKH,FDT,Frais de Timbre,201000.0,132000.0
"2024-01-03",DJAKH,FJS,FJSL,1125050.0,1084900.0
