"Date","CodeOffice","TotalAmountPaid","TotalAmountAssessed","TotalPaidWeight","TotalPaidValue","TotalAssessedWeight","TotalAssessedValue","OfficeName"
"2024-01-02",DIFTZ,1770330.0,4356040.0,17309273,2242827160,17252046,2240653760,Djibouti International Free Trade 
"2024-01-02",DJAFR,1679360.0,26195096,2047.76,10427708,4667.76,90373163,Bureau Aéroport Fret
"2024-01-02",DJAKH,36879800,22402702,30679.35,31466000,20212.725,20731000,Bureau Khat
"2024-01-02",DJFRZ,12850900,9766784.0,21174118.285,2108580788,21122389.835,2106672389,Bureau Free Zone
"2024-01-02",DJPRT,33001800,32747099,1379546.89,183868372,1394763.15,177003842,Bureau du Port
"2024-01-03",DIFTZ,5136590.0,5056331.0,13765115.02,1881640527,14157893.42,3000206911,Djibouti International Free Trade 
"2024-01-03",DJAFR,3513030.0,2334431.0,1842.703,12987842,1838.103,7622456.0,Bureau Aéroport Fret
"2024-01-03",DJAKH,26396700,23256972,21938.475,22501000,21155.55,21698000,Bureau Khat
"2024-01-03",DJEXO,7619260.0,7073233.0,1798565.339,609248181,2690253.174,1021491467.308,Bureau Exonérations
"2024-01-03",DJFRZ,11838000,10982815,14846849.941,2054256435,14823811.391,2035795954,Bureau Free Zone
"2024-01-03",DJPRT,20150900,24219350,841057.001,144826324,890061.501,167388463,Bureau du Port
"2024-01-03",DJZEA,2591660.0,28000.0,4700715.18,659992994,4693595.18,641145382,Bureau FZ East Africa Holding
"2024-01-03",DJZFR,3549800.0,3675670.0,48872.0,17887537,55768.0,25876530,Bureau Zone Franche
"2024-01-01",DJAKH,0.0,26472154,0.0,0.0,24494.925,25123000,Bureau Khat
"2024-01-01",DJBAP,138740.0,138740.0,20.0,388000.0,20.0,388000.0,Brigade Aéroport Passager
"2024-01-01",DJTRS,33000.0,10000.0,49676182.069,1624722071,367239.57,10521997,Bureau Transit
"2024-01-02",DIFTZ,1770330.0,4356040.0,17309273,2242827160,17252046,2240653760,Djibouti International Free Trade 
"2024-01-02",DJAFR,1679360.0,26195096,2047.76,10427708,4667.76,90373163,Bureau Aéroport Fret
"2024-01-02",DJAKH,36879800,22402702,30679.35,31466000,20212.725,20731000,Bureau Khat
"2024-01-02",DJBAP,24824.0,24824.0,25.0,117000.0,25.0,117000.0,Brigade Aéroport Passager
"2024-01-02",DJCPT,6000.0,0.0,0.0,0.0,0.0,0.0,
"2024-01-02",DJEXO,343176.0,1207113.0,592915.075,302174438,638591.634,352702263,Bureau Exonérations
"2024-01-02",DJFRZ,12850900,9766784.0,21174118.285,2108580788,21122389.835,2106672389,Bureau Free Zone
"2024-01-02",DJGAR,339934.0,339934.0,70848.0,4048000.0,70848.0,4048000.0,Bureau de la Gare
"2024-01-02",DJPRT,33001800,32747099,1379546.89,183868372,1394763.15,177003842,Bureau du Port
"2024-01-02",DJTRS,84000.0,158000.0,60639641.503,11895633973,8986220.796,13936398077,Bureau Transit
"2024-01-02",DJUKB,29000.0,32000.0,2255962.92,401362573,2472654.12,430967533,Bureau UKAB HOLDING 
"2024-01-02",DJZEA,10000.0,2573662.0,1402479.5,211905056,1409599.5,230752668,Bureau FZ East Africa Holding
"2024-01-02",DJZFR,2000.0,2000.0,6099715.0,1016054804,6099715.0,1016054804,Bureau Zone Franche
"2024-01-03",DIFTZ,5136590.0,5056331.0,13765115.02,1881640527,14157893.42,3000206911,Djibouti International Free Trade 
"2024-01-03",DJAFR,3513030.0,2334431.0,1842.703,12987842,1838.103,7622456.0,Bureau Aéroport Fret
"2024-01-03",DJAKH,26396700,23256972,21938.475,22501000,21155.55,21698000,Bureau Khat
"2024-01-03",DJBAP,13425.0,13425.0,10.0,35000.0,10.0,35000.0,Brigade Aéroport Passager
"2024-01-03",DJCPT,10000.0,0.0,0.0,0.0,0.0,0.0,
"2024-01-03",DJEXO,7619260.0,7073233.0,1798565.339,609248181,2690253.174,1021491467.308,Bureau Exonérations
"2024-01-03",DJFRZ,11838000,10982815,14846849.941,2054256435,14823811.391,2035795954,Bureau Free Zone
"2024-01-03",DJGAR,0.0,159000.0,0.0,0.0,60480.0,1500000.0,Bureau de la Gare
"2024-01-03",DJPRT,20150900,24219350,841057.001,144826324,890061.501,167388463,Bureau du Port
"2024-01-03",DJPTR,2000.0,2000.0,2119014.0,411151542,2119014.0,411151542,Bureau  Hydrocarbures
"2024-01-03",DJREV,1000.0,2000.0,172.18,1393511.0,2972.18,4360800.0,Bureau Révision
"2024-01-03",DJTRS,163000.0,303000.0,12294367.643,2268343894,15862211.377,5448453186,Bureau Transit
"2024-01-03",DJUKB,38000.0,36000.0,6500366.3,1185854741,6283675.1,1156249781,Bureau UKAB HOLDING 
"2024-01-03",DJZEA,2591660.0,28000.0,4700715.18,659992994,4693595.18,641145382,Bureau FZ East Africa Holding
"2024-01-03",DJZFR,3549800.0,3675670.0,48872.0,17887537,55768.0,25876530,Bureau Zone Franche
"2024-01-04",DIFTZ,3927780.0,1394609.0,19754280.159,3830887344,20172949.219,2763388197,Djibouti International Free Trade 
"2024-01-04",DJAFR,1360810.0,9787602.0,3395.86,1444455043,21024.51,1481486213,Bureau Aéroport Fret
"2024-01-04",DJAKH,12990200,29086530,10796.175,11073000,26490.75,27170000,Bureau Khat
"2024-01-04",DJBAP,82559.0,82559.0,52.0,263000.0,52.0,263000.0,Brigade Aéroport Passager
"2024-01-04",DJEXO,1652080.0,2384090.0,2130425.109,1227799817.308,1240974.1,1006828501,Bureau Exonérations
"2024-01-04",DJFRZ,13688300,15807355,13581500.26,1858635105,13563716.793,1859174880,Bureau Free Zone
"2024-01-04",DJGAR,4146130.0,3987130.0,853803.0,49562683,793323.0,48062683,Bureau de la Gare
"2024-01-04",DJPRT,24358600,27878527,2411933.03,883703232,2413325.67,867808686,Bureau du Port
"2024-01-04",DJPTR,0.0,1000.0,0.0,0.0,37792.56,19506624,Bureau  Hydrocarbures
"2024-01-04",DJREV,2000.0,1000.0,37000.0,10967289,34200.0,8000000.0,Bureau Révision
"2024-01-04",DJTRS,141000.0,349000.0,7189156.12,3190665124,20214174.401,8865483869,Bureau Transit
"2024-01-04",DJUKB,37000.0,37000.0,10424297.2,1412005853,10424297.2,1412005853,Bureau UKAB HOLDING 
"2024-01-04",DJZEA,35000.0,36000.0,3799536.44,501085439,3801401.44,520882839,Bureau FZ East Africa Holding
